# PLab PicoQuake Data
# Time: 2024-04-21 15:54:46.333682, Device: D4E9 (E6632891E36F2029)
# Num. samples: 10000, Duration: 5.0 s
# Config: data_rate = 2000.0 Hz, filter = 488 Hz, acc_range = 4 g, gyro_range = 250.0 dps
# Integrity: True, Skipped samples: 0
count,a_x,a_y,a_z,g_x,g_y,g_z
31,0.7947998046875,0.06982421875,-1.2572021484375,-249.99998474121094,-249.99998474121094,-249.99998474121094
32,0.70947265625,0.0877685546875,-1.206298828125,-25.657651901245117,22.125242233276367,-11.650084495544434
33,0.568603515625,0.0848388671875,-1.197509765625,-5.088805675506592,6.607055187225342,-7.453917980194092
34,0.4681396484375,0.0606689453125,-1.2213134765625,0.55694580078125,-0.03051757626235485,-5.912780284881592
35,0.44189453125,0.0362548828125,-1.22802734375,0.55694580078125,-0.03051757626235485,-5.912780284881592
36,0.4637451171875,0.02734375,-1.2069091796875,-2.22015380859375,3.921508550643921,2.1209716796875
37,0.535400390625,0.023681640625,-1.1776123046875,-0.57220458984375,3.227233648300171,0.518798828125
38,0.6220703125,0.0169677734375,-1.1456298828125,-0.5035400390625,3.448486089706421,0.2593994140625
39,0.694580078125,0.0118408203125,-1.086181640625,-0.30517578125,3.768920660018921,0.579833984375
40,0.7200927734375,0.01953125,-0.987060546875,0.0534057579934597,4.39453125,0.9994506239891052
41,0.6790771484375,0.0296630859375,-0.89111328125,0.3280639350414276,5.119323253631592,1.2664793729782104
42,0.570068359375,0.0228271484375,-0.838623046875,0.4730224311351776,5.722045421600342,1.5869139432907104
43,0.4273681640625,0.01171875,-0.8323974609375,0.4501342475414276,5.950927257537842,1.7852782011032104
44,0.2889404296875,0.00634765625,-0.8489990234375,0.2136230319738388,5.928039073944092,1.8081663846969604
45,0.1490478515625,-0.0003662109375,-0.874755859375,-0.0991821214556694,5.706786632537842,1.7395018339157104
46,0.03759765625,-0.003173828125,-0.919189453125,-0.2441406100988388,4.87518310546875,1.6708372831344604
47,0.022705078125,-0.011962890625,-0.9432373046875,-0.4119872748851776,3.608703374862671,1.4190672636032104
48,0.0941162109375,-0.0286865234375,-0.89990234375,-0.3433227241039276,2.693176031112671,1.2969969511032104
49,0.1656494140625,-0.0279541015625,-0.817138671875,-0.2441406100988388,2.555846929550171,1.2588499784469604
